age,male,female,total
0,382332,362931,745263
1,395273,375341,770614
2,408684,387630,796314
3,408882,388301,797183
4,412553,392101,804654
5,421934,401270,823204
6,434333,414348,848681
7,427809,408199,836008
8,419161,400663,819824
9,414994,395813,810807
10,418348,398640,816988
11,405604,384526,790130
12,396531,377837,774368
13,381466,363458,744924
14,375311,357173,732484
15,365807,346926,712733
16,360771,341812,702583
17,371195,353628,724823
18,384777,362219,746996
19,401688,380427,782115
20,411122,388931,800053
21,426309,402450,828759
22,432658,405362,838020
23,433554,411037,844591
24,447422,425730,873152
25,447101,431409,878510
26,457870,450115,907985
27,470965,456180,927145
28,462696,447914,910610
29,454070,448855,902925
30,455376,455763,911139
31,439884,448522,888406
32,448165,447555,895720
33,447012,447937,894949
34,433650,439493,873143
35,435220,443562,878782
36,433790,444015,877805
37,438225,446006,884231
38,438053,445383,883436
39,422038,425942,847980
40,393518,397469,790987
41,387736,390564,778300
42,393134,400468,793602
43,400211,407912,808123
44,407039,415341,822380
45,425447,433399,858846
46,443536,452204,895740
47,454593,470036,924629
48,444402,458544,902946
49,455038,470201,925239
50,455264,470090,925354
51,463020,474274,937294
52,459687,476094,935781
53,463433,479358,942791
54,458773,474242,933015
55,449077,463241,912318
56,439605,451605,891210
57,424184,436233,860417
58,405958,418441,824399
59,395941,409535,805476
60,386958,400174,787132
61,371615,385286,756901
62,357493,370916,728409
63,342516,357872,700388
64,341152,359127,700279
65,335697,352953,688650
66,323224,343286,666510
67,323633,345174,668807
68,327472,351835,679307
69,334709,358452,693161
70,349268,376645,725913
71,375924,405199,781123
72,286543,312740,599283
73,273933,302019,575952
74,270187,299138,569325
75,246316,278921,525237
76,215728,249132,464860
77,189863,223746,413609
78,192839,228622,421461
79,186251,224153,410404
80,175626,214793,390419
81,160475,202210,362685
82,146314,189402,335716
83,132941,175985,308926
84,116050,159667,275717
85,103669,147771,251440
86,93155,138433,231588
87,81174,126713,207887
88,68110,113032,181142
89,55652,96759,152411
90,183486,400538,584024
